Collection,Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,MPAA_film_rating,Num_multiplex,Start_Tech_Oscar
48000,20.1264,59.62,0.462,36524.125,138.7,7.825,8.095,7.91,7.995,7.94,527367,YES,109.6,223.84,Thriller,23,PG,494,0
43200,20.5462,69.14,0.531,35668.655,152.4,7.505,7.65,7.44,7.47,7.44,494055,NO,146.64,243.456,Drama,42,PG,462,1
69400,20.5458,69.14,0.531,39912.675,134.6,7.485,7.57,7.495,7.515,7.44,547051,NO,147.88,2022.4,Comedy,38,PG,458,0
66800,20.6474,59.36,0.542,38873.89,119.3,6.895,7.035,6.92,7.02,8.26,516279,YES,185.36,225.344,Drama,45,PG,472,0
72400,21.381,59.36,0.542,39701.585,127.7,6.92,7.07,6.815,7.07,8.26,531448,NO,176.48,225.792,Drama,55,PG,395,0
57400,20.597,59.36,0.542,35718.65,132.2,6.89,7.1,6.885,7.005,7.26,498425,YES,143.48,284.592,Comedy,53,PG,460,1
45800,21.7658,70.74,0.476,33396.66,140.1,7.065,7.265,7.15,7.4,8.96,459241,YES,139.16,243.664,Thriller,41,PG,522,1
44200,22.891,70.74,0.476,34285.46,169.6,6.98,7.075,6.875,7.17,7.96,400821,NO,116.84,243.536,Drama,56,PG,571,1
33000,24.2248,70.74,0.476,31280.205,173.5,6.91,7.075,6.85,7,7.96,295168,YES,118.6,242.64,Comedy,55,PG,564,0
37800,23.4008,70.74,0.476,33352.22,159.4,6.665,6.725,6.575,6.855,7.96,412012,YES,189.56,283.024,Thriller,45,PG,508,0
30000,24.4978,70.74,0.476,35424.235,167.8,6.675,6.845,6.725,7.06,8.96,369595,NO,120,222.4,Drama,29,PG,578,1
37800,22.3494,70.74,0.476,33379.995,156.4,6.865,7.035,6.745,6.905,8.96,451646,NO,185.56,263.024,Action,23,PG,553,1
43400,21.8756,70.74,0.476,32713.395,112.5,7.12,7.43,7.21,7.335,8.96,407557,YES,110.68,203.472,Action,57,PG,575,1
40800,32.5952,71.28,0.462,33046.695,135.3,7.64,7.705,7.535,7.705,6.8,472490,YES,118.16,283.264,Comedy,39,PG,535,0
36400,32.7592,71.28,0.462,33863.28,158,7.7,7.9,7.76,7.71,7.8,495311,NO,139.28,262.912,Comedy,49,PG,599,0
39800,32.5478,71.28,0.462,32407.87,130,7.7,7.825,7.64,7.84,6.8,497626,YES,169.96,283.184,Thriller,28,PG,598,0
46200,41.0786,71.28,0.462,32968.925,102.8,7.67,7.805,7.74,7.785,7.8,532331,NO,109.24,203.696,Comedy,46,PG,547,0
35000,35.684,71.28,0.462,33274.45,155.2,7.72,7.925,7.82,8.015,6.8,431225,NO,109,222.8,Drama,56,PG,548,1
40400,36.0542,71.28,0.462,30308.08,110.1,8.1,8.24,8.07,8,6.8,448317,YES,170.08,243.232,Action,41,PG,543,0
36400,34.516,71.28,0.462,31813.485,143,8.01,8.175,8,8.215,7.8,463328,NO,171.28,242.912,Action,27,PG,578,1
27200,45.0358,71.28,0.462,30941.35,171.6,8.035,8.205,7.955,8.21,7.8,371051,YES,,302.176,Action,44,PG,484,0
39200,37.0408,71.28,0.462,33135.575,162.7,7.945,8.14,7.83,8.06,7.8,457361,YES,183.84,283.136,Comedy,23,PG,541,0
30400,44.6494,71.28,0.462,34118.81,165.2,7.91,8.01,7.845,8.275,6.8,387496,YES,116.08,282.432,Thriller,48,PG,575,1
29000,39.7686,71.28,0.462,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,YES,149.8,262.32,Drama,29,PG,527,0
31200,35.0052,71.28,0.462,32907.82,167.6,7.655,7.965,7.64,7.94,7.8,414145,YES,164.24,262.496,Drama,27,PG,502,1
27800,36.8108,71.28,0.462,31102.445,159.2,7.655,7.835,7.64,7.96,7.8,422375,YES,187.56,262.224,Thriller,35,PG,516,0
33200,33.4382,71.28,0.462,32291.215,163.8,7.53,7.705,7.645,7.755,6.8,436807,NO,194.64,242.656,Drama,59,PG,476,1
29600,39.1154,71.28,0.462,33591.085,162.3,7.75,7.8,7.7,7.845,6.8,406866,YES,173.92,262.368,Drama,20,PG,488,1
36800,35.4598,71.28,0.462,36079.725,167.9,7.715,7.825,7.655,7.895,7.8,455480,YES,119.36,302.944,Thriller,35,PG,544,1
42000,40.049,71.28,0.462,37074.07,160.8,7.735,8.03,7.82,7.935,6.8,466851,NO,180.4,243.36,Thriller,50,PG,488,0
25400,42.6162,71.28,0.462,31735.715,167.6,7.74,7.91,7.815,8.07,6.8,350102,NO,197.08,242.032,Drama,34,PG,586,0
29000,47.0944,71.28,0.462,33729.96,173.5,7.805,7.97,7.76,8.115,6.8,436306,YES,185.8,242.32,Comedy,23,PG,523,1
26400,47.7598,71.28,0.462,33052.25,155.5,7.995,8.07,7.845,8.105,7.8,299587,NO,175.28,282.112,Thriller,25,PG,533,0
26200,43.0344,71.28,0.462,31669.055,168.5,8.1,8.165,8.02,8.14,7.8,394967,YES,167.24,302.096,Comedy,25,PG,571,1
27000,52.2564,71.28,0.462,33863.28,170.4,7.965,8.17,8.065,8.28,6.8,377048,YES,193.4,222.16,Comedy,40,PG,497,0
37800,21.2834,66.92,0.501,32957.815,141.7,8.155,8.365,8.23,8.53,7.16,475977,YES,189.56,223.024,Thriller,43,PG,530,1
40000,21.9488,66.92,0.501,32446.755,134.9,8.305,8.36,8.19,8.39,8.16,474433,NO,150,303.2,Comedy,39,PG,454,0
42000,21.6028,66.92,0.501,32496.75,115,8.01,8.125,7.94,8.055,7.16,482433,YES,162.4,203.36,Thriller,21,PG,510,0
48400,23.501,66.92,0.501,33141.13,103.7,7.925,8.17,7.98,8.23,7.16,498052,YES,163.68,203.872,Thriller,21,PG,484,1
61600,20.5526,60.9,0.572,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,YES,138.32,244.928,Thriller,49,PG,451,1
69800,20.6718,60.9,0.572,39018.32,89.3,7.185,7.345,7.235,7.43,8.34,567784,YES,123.96,305.584,Thriller,20,PG,428,1
53200,22.5488,68.82,0.552,37607.35,76.4,7.115,7.14,7,7.3,7.42,512492,NO,154.64,264.256,Action,30,PG,495,1
50600,22.83,68.82,0.552,34268.795,80.1,7.035,7.27,7.06,7.19,7.42,526836,NO,162.12,304.048,Thriller,52,PG,419,1
49400,23.1872,68.82,0.552,34502.105,80,6.98,7.17,7.08,7.33,8.42,473146,YES,121.88,303.952,Thriller,56,PG,449,1
42400,22.4538,68.82,0.552,33713.295,113.5,7.095,7.245,7.05,7.165,8.42,471960,NO,180.48,243.392,Thriller,53,PG,400,0
38600,23.4284,68.82,0.552,31563.51,107.3,7.385,7.525,7.395,7.49,8.42,470466,NO,161.72,223.088,Thriller,21,PG,445,0
40000,23.7672,68.82,0.552,32141.23,106.8,7.375,7.5,7.3,7.625,8.42,445250,YES,186,243.2,Drama,39,PG,455,0
33200,24.5854,68.82,0.552,33496.65,159,7.085,7.18,7.125,7.23,7.42,374797,YES,106.64,242.656,Thriller,44,PG,526,0
28800,25.0774,68.82,0.552,29991.445,168.8,7.01,7.16,7.02,7.07,8.42,264112,NO,141.76,282.304,Comedy,34,PG,427,0
38800,24.3954,68.82,0.552,31119.11,135.5,6.945,7.05,6.85,6.98,7.42,422013,NO,119.76,263.104,Action,45,PG,507,0
39400,21.7746,66.28,0.561,33124.465,119.2,6.46,6.725,6.5,6.685,7.64,442225,YES,0,223.152,Thriller,21,PG,404,1
41000,20.8674,66.28,0.561,33968.825,136.5,6.48,6.63,6.46,6.795,8.64,502413,YES,140.2,223.28,Drama,30,PG,473,1
50000,21.072,66.28,0.561,36168.605,94.6,6.49,6.62,6.44,6.815,8.64,504792,NO,198,284,Thriller,56,PG,462,1
